GEOID,median_hh_income,total_n_hh,hh_under_0.5_pov,hh_between_0.5_0.74_pov,hh_between_0.75_0.99_pov,hh_between_1.00_to_1.24_pov,hh_between_1.25_to_1.49_pov,hh_between_1.50_to_1.74_pov,hh_between_1.75_to_1.84_pov,hh_between_1.85_to_1.99_pov,hh_between_2.00_to_2.99_pov,hh_between_3.00_to_3.99_pov,hh_between_4.00_to_4.99_pov,hh_between_5.00_and_over_pov,year,pov_share_under_1_00
17031620200,50990,620,41,4,0,37,0,44,51,7,131,136,64,105,2016,0.072580645
17031630900,43636,921,38,47,43,86,137,45,42,36,252,135,29,31,2016,0.13897937024972856
17031650200,53365,1617,106,106,35,28,109,74,71,42,371,437,79,159,2016,0.15275200989486704
17031660700,27156,399,68,41,32,11,22,8,10,46,102,45,7,7,2016,0.3533834586466165
17031660900,25846,809,94,99,114,64,42,50,10,59,110,108,0,59,2016,0.3794808405438813
17031680500,22844,294,58,53,53,43,13,3,13,8,37,0,0,13,2016,0.5578231292517006
17031680600,27841,349,81,47,39,34,24,17,23,12,47,2,11,12,2016,0.4785100286532951
17031710300,24806,350,45,33,40,30,27,19,0,21,48,39,25,23,2016,0.33714285714285713
17031720500,105000,561,0,0,0,0,7,13,0,0,18,55,94,374,2016,0
17031720600,105897,420,0,0,0,0,5,0,0,18,27,58,37,275,2016,0
17031730100,49688,599,9,41,15,44,31,21,11,22,130,62,35,178,2016,0.10851419031719532
17031801200,175298,949,18,0,8,0,17,8,0,0,53,58,29,758,2016,0.02739726
17031801400,120476,842,13,0,0,17,12,0,17,0,89,76,62,556,2016,0.015439429928741092
17031801702,118380,1294,0,0,7,0,32,9,7,19,146,84,74,916,2016,0.005409583
17031802200,105184,1174,7,0,10,6,0,15,8,0,101,123,79,825,2016,0.014480408858603067
17031802605,81912,2031,0,18,16,64,26,32,17,19,242,343,227,1027,2016,0.016740522
17031803400,101992,1606,0,14,16,42,32,11,0,5,182,96,153,1055,2016,0.01867995
17031803603,125268,1920,32,0,0,26,14,0,0,25,88,131,217,1387,2016,0.016666666666666666
